cmd,nl
sudo find /var/www/some/subset -print0 | xargs -0 chown www-data:www-data,find all files/directories under /var/www/some/subset and change their owner and group to www-data
find -mindepth 4 -name file,find all files/directories named file in minimum 4 levels down the current directory
find /users/al -name Cookbook -type d,find directory which name is cookbook under /users/al
find path_to_dir -type f,find all files under path_to_dir
find main-directory -type f -exec mv -v '{}' '{}'.html \;,find all the regular/normal files in the current folder and rename them to html files
"find . -type f -exec sh -c 'cp ""$@"" /tmp' {} +",copy all regular files from the current directory tree to /tmp
find /path/to/file -type f -size +51200c 2>/dev/null,find all files under /path/to/file which are greater than 25600kb
"ssh -N -i <(echo ""privatekeystuffdis88s8dsf8h8hsd8fh8d"") -R 16186:localhost:8888 hello.com","forward port 16186 on hello.com to 8888 on localhost using private key ""privatekeystuffdis88s8dsf8h8hsd8fh8d"" for login"
screen -list,list screen session ids
find /students -type l -print 2> /dev/null,find all the links in the directory students and print them. do not display any errors.
comm -12 <(find ~/bin/FilesDvorak/.* -maxdepth 0) <(find ~/.PAST_RC_files/.*),list all ~/bin/filesdvorak/.* (non-recursive) and ~/.past_rc_files/.* (recursive) files/directories and take common entries between these two lists
"find -name ""*.flac"" -exec ffmpeg -i {} -acodec libmp3lame -ab 128k {}.mp3 \;","find all the "".flac"" files in the current folder and convert them to mp3 with 128k bit rate"
du -s $i | read k,"read the first line of output from ""du -s $i"" into variable ""k"" in ksh"
find ~/code -name '.*' -prune -o -type d -printf ':%p',find all directories under ~/code without descending into hidden directories and print them appended with : (colon)
"ssh -n -f user@host ""sh -c 'cd /whereever; nohup ./whatever > /dev/null 2>&1 &'""","execute ""/wherever/whatever"" in the background on target machine ""user@host"""
find . 2>/dev/null > some_file,"list all files under the current directory, writing the output to the file some_file, suppressing all error messages"
find . -name foo.mp4 -printf '%h\n',find all foo.mp4 files in the current directory tree and print the pathnames of their parent directories
comm -2 -3 f1 f2,"print unique lines of sorted file ""f1"" compared to sorted file ""f2"""
$ file /bin/bash,"display the file type description of /bin/bash, ie. symbolic link, elf executable, etc."
find . -name \*.txt -exec process {} \;,find all *.txt files/directories under current directory and execute process for each of them
find . -name FOLDER1 -prune -o -name filename,"find all files named ""filename"" in the current directory tree, not descending into ""folder1"" directories"
"find . -type f -mtime +30 -name ""*.log"" -exec cp {} old \;",copy all the log files in the current folder which have not been accessed in the last 30*24 hours to the folder old
"ssh $USER@$SERVER ""cd ${REMOTE_PATH}; mkdir -p $i"" < /dev/null","execute ""cd ${remote_path}; mkdir -p $i"" on host ""$server"" as user ""$user"" and connect standard input to ""/dev/null"""
find . -name 'filename' | xargs -r ls -tc | head -n1,get only the latest version of the file 'filename' under current directory
find . -name foo.rb,find all files/directories named 'foo.rb' under current directory tree
find /usr/share/man/ -regex grep.*,serach for all the files starting with grep in man pages
"for D in `find . -iname ""*.php~""`; do mv ${D} /mydir; done",move all *.php~ (case insensitive) files under current directory to /mydir
find . -name '*.txt',locate all *.txt files in the current directory tree
find dir2 ! -type d |xargs wc -c,get the sizes (and total size) of all files under dir2 directory
"find ${DIR} -type f -name ""*.css"" -exec sed -n '/\.ExampleClass.{/,/}/p' \{\} \+","find all *.css files under $dir and print the lines matching the regex '\.exampleclass.{/,/}' from those files"
scp -P 1234 user@[ip address or host name]:/var/www/mywebsite/dumps/* /var/www/myNewPathOnCurrentLocalMachine,"connect to port 1234 of specified ip address or hostname as ssh user ""user"", and copy all visible files in /var/www/mywebsite/dumps/ on this host to local directory /mynewpathoncurrentlocalmachine - this directory must already exist on local host."
find . -size +9M,list files larger than 9mb residing in the current directory and below
find . -exec grep -l -e 'myregex' {} \; >> outfile.txt,find files matching the regex 'myregex' in their contents and append the list of these files to outfile.txt
"find /srv/www/*/htdocs/system/application/ -name ""*.php"" -print0 | xargs -0 grep -H ""debug (""","find all .php files in all directory trees matching pattern `/srv/www/*/htdocs/system/application/' and search those files for string ""debug ("""
find . -gid 1003,find files and directories with group id 1003
find . -name heapdump*|xargs rm,"delete all the files found in the current directory tree whose names begin with ""heapdump"""
"mkdir ""$@"" |sed -e""s/mkdir: created directory /$USER created folder /""","make directories ""$@"" and replace ""mkdir: created directory "" with ""$user created folder "" in the output"
shift `expr $# - 1`,"shifts all positional arguments but last one, keeping it in $1 variable."
"find . -name ""*bash*"" | xargs",search the current directory tree for *bash* files printing them on a single line
find / -name filename.txt -print,"find the file ""filename.txt"" in the entire file system"
rpm2cpio libstdc++-4.9.2-1.fc21.x86_64.rpm |cpio -idmv,"extract rpm ""libstdc++-4.9.2-1.fc21.x86_64.rpm"""
find . -type f -name 'btree*.c',find all btree*.c files under current directory
"find /data/ -name 'command-*-setup' | sort -t - -V -k 2,2","list all paths to files or directories under ""/data/"" that start with ""command-"" and end with ""-setup"", sort the result by the version number specified between ""command-"" and ""-setup"" (least to greatest)"
watch --interval=10 lynx -dump http://dslrouter/stats.html,"execute ""lynx -dump http://dslrouter/stats.html"" every 10 seconds"
find $HOME \( -name a.out -o -name '*.o' \) -atime +7 -exec rm {} \;,remove all files 'a.out' and *.o in the home directory tree that were accessed more than 7 days ago
fhost=`hostname -f`,"save the fqdn host name of the system in variable ""fhost"""
"find PDFs/ -name '*.pdf' -exec sh -c 'pdftotext ""{}"" - | grep -l -i --with-filename --label=""{}"" --color ""perry sound""' \;","search the *.pdf files from directory tree pdfs/ for text ""perry sound"", ignoring the case, and print the list of matched files"
sudo find /var/www -type d -print0 | xargs -0 chmod 755,find all directories under /var/www directory and set their permission to 755
find / -iname '*python*',search for files having python in filename
dig mx example.com | grep -v '^;' | grep example.com,"request mx record of 'example.com' domain, and filter out all comment strings"
find /path/to/search -daystart -ctime -1,find things changed today
find . -exec echo {} ';',find all files/directories under current directory and print their paths
find *-name hi.dat,search all non-hidden files in the current directory and all non-hidden sub-directories for the file hi.dat.
"find */201111 -name ""*.jpg""",find all *.jpg files in */201111 paths
find . -size -500k,find and show all files in the current directory tree that are smaller than 500 kb
find . -type f -newermt 2007-06-07 ! -newermt 2007-06-08,"find all files modified on the 7th of june, 2007, starting from the current directory"
chmod -R +xr directory,"recursively add read and execute permissions to all files and folders in ""directory"""
find /path -type f -delete,find all the regular/normal files in the /path folder and delete them
sudo find / -iname '*.ogg',find all *.ogg (case insensitive) files/directories in entire file system
sudo find /var/www/some/subset -type d -print0 | xargs -0 chmod g+s,find all directories under /var/www/some/subset and set their sgid bit
"gzip -d --stdout file.gz | bash -s -- ""-n wordpress localhost""","unzip ""file.gz"" to standard output and execute in bash with arguments ""-n wordpress"""
find . -name '*.log'  -type f  -readable  ! -size 0 -exec sed -n '1{/The SAS System/q0};q1' {} \; -print,"search the current directory tree for .log files containing the string ""the sas system"" on the first line"
ssh -o ConnectTimeout=10  <hostName>,"set the setup connection timeout to 10 seconds for connecting to ""<hostname>"" via ssh"
comm -12 <(sort set1) <(sort set2),"print common lines in files ""set1"" and ""set2"""
"find . -name "".txt"" | grep ""foo"" | xargs rm",find all text files in current folder and delete all the files that have the word foo in their name
"find . -type f -name ""*.jpg"" -print0 | xargs -0 rename ""s/Image_200x200_(\d{3})/img/""",search all jpg images in current folder and rename them
find . -name FOLDER1 -prune -o -name filename -print,"list all files named ""filename"" from the current directory tree, ignoring directory ""folder1"""
"find . -name test -prune -regex "".*/my.*p.$""",search all the files in the current folder excluding those that are present in the folder test and using regex
"sudo find -name ""*[!0-9][1-9].txt"" -exec chmod 744 '*' {} \; -a -exec ls -l {} \; | sort | parallel ls -l","find files with pattern ""*[!0-9][1-9].txt""  and execute chmod and ls command with and condition then sort the output"
ssh -i keyfile.rsa -T -N -L 16379:localhost:6379 someuser@somehost,"create a local ssh tunnel from ""localhost"" port 16379 to ""localhost"" port 6379 using key ""keyfile.rsa"" and disables the interactive shell"
"find . -type f -newermt ""2013-06-01"" \! -newermt ""2013-06-20""",finds all files modified within a certain time frame recursively
"find . -name ""*.bash"" |xargs grep ""echo""",search for the word echo all the bash files(files ending with .bash) in the current folder
"find . -type f -path ""*src/main/*\.scala""","display all scala files in the directory ""src/main"""
ln -sfvn source target,"forcibly and verbosely create a symbolic link named ""target"" to file ""source"""
gzip -kr .,recursively compress every file in the current directory tree and keep the original file
